"","fecha_de_libertad","ABSUELTO","COMPURGADO","CONDENA CONDICIONAL/SUSPENSIÓN CONDICIONADA DE PENA","EXTERNADO","LIBERTAD PREPARATORIA","OTROS","REMISION PARCIAL DE LA PENA","TRATAMIENTO EN LIBERTAD/SEMILIBERTAD"
"1","2018-12-01",0,2,1,16,0,1,0,0
"2","2018-12-02",0,2,0,24,0,1,0,0
"3","2018-12-03",0,6,15,14,0,0,2,6
"4","2018-12-04",10,2,14,10,0,1,0,5
"5","2018-12-05",2,4,18,28,1,2,1,5
"6","2018-12-06",4,3,16,13,1,2,1,2
"7","2018-12-07",3,7,15,12,0,2,0,3
"8","2018-12-08",0,5,0,26,0,0,0,0
"9","2018-12-09",0,2,0,17,0,0,0,1
"10","2018-12-10",6,5,15,14,0,0,2,6
"11","2018-12-11",5,7,13,11,0,4,2,7
"12","2018-12-12",2,4,14,14,0,3,0,5
"13","2018-12-13",5,3,15,20,1,4,0,2
"14","2018-12-14",5,3,17,7,1,3,2,4
"15","2018-12-15",0,2,0,25,0,0,0,0
"16","2018-12-16",0,2,0,24,0,0,0,0
"17","2018-12-17",0,2,7,14,1,1,2,14
"18","2018-12-18",0,3,12,10,0,3,0,4
"19","2018-12-19",6,6,13,8,2,0,1,2
"20","2018-12-20",2,0,13,19,0,4,5,7
"21","2018-12-21",1,2,13,20,0,3,2,9
"22","2018-12-22",0,0,0,28,0,0,0,0
"23","2018-12-23",1,1,0,6,0,0,0,0
"24","2018-12-24",0,4,20,12,0,4,0,4
"25","2018-12-25",0,5,0,32,0,0,0,0
"26","2018-12-26",0,1,12,17,0,1,0,7
"27","2018-12-27",0,1,1,8,0,1,1,0
"28","2018-12-28",0,5,3,6,0,5,0,0
"29","2018-12-29",0,3,0,0,0,0,0,0
"30","2018-12-30",0,6,0,0,0,0,0,0
"31","2018-12-31",0,1,1,19,0,0,0,1
"32","2019-01-01",0,3,0,23,0,0,0,0
"33","2019-01-02",0,7,7,12,1,0,2,4
"34","2019-01-03",0,0,1,26,0,0,0,2
"35","2019-01-04",0,5,6,0,0,2,2,5
"36","2019-01-05",0,10,3,18,0,0,0,0
"37","2019-01-06",0,1,0,21,0,0,0,0
"38","2019-01-07",0,4,0,18,0,0,0,0
"39","2019-01-08",1,5,16,18,0,0,0,1
"40","2019-01-09",0,5,8,9,0,2,1,4
"41","2019-01-10",2,10,12,21,0,1,1,4
"42","2019-01-11",0,7,6,16,1,1,0,1
"43","2019-01-12",2,9,3,20,0,0,2,1
"44","2019-01-13",0,0,0,35,0,0,0,0
"45","2019-01-14",0,5,0,22,0,0,0,0
"46","2019-01-15",0,7,8,12,0,0,0,5
"47","2019-01-16",4,8,12,21,1,2,4,5
"48","2019-01-17",2,8,11,20,0,4,1,5
"49","2019-01-18",1,7,12,39,0,4,1,4
"50","2019-01-19",0,2,6,32,0,0,0,2
"51","2019-01-20",0,3,0,6,0,0,0,0
"52","2019-01-21",0,1,0,33,0,0,0,0
"53","2019-01-22",0,1,6,21,0,0,0,1
"54","2019-01-23",0,5,10,22,0,1,4,2
"55","2019-01-24",0,3,6,18,0,2,0,3
"56","2019-01-25",0,4,1,27,0,0,2,3
"57","2019-01-26",0,2,2,24,1,0,2,4
"58","2019-01-27",0,7,0,23,0,0,0,0
